priority,approval_item_id,brand,item_type,source_title,manager_text,suggested_decision,rop_question,bot_permission_after_approval,risk_notes
P1,fact:v2:internal:cross_brand_sources_inventory_6_source_id:828fe01b2a,internal,program,cross_brand_sources_inventory / 6 / source_id,conversation_scripts.csv:cross_brand_3,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_6_type:ea8c6656eb,internal,program,cross_brand_sources_inventory / 6 / type,scripts_subset,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_6_severity:a7c7efd092,internal,program,cross_brand_sources_inventory / 6 / severity,critical,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_6_count:994ed0d1c6,internal,program,cross_brand_sources_inventory / 6 / count,3,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_6_rule:2897d79032,internal,program,cross_brand_sources_inventory / 6 / rule,3 скрипта явно cross-brand. Перечислены в 06_conversation_scripts_classification.md.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_6_found_in:9706b8e565,internal,program,cross_brand_sources_inventory / 6 / found_in,enrichment_log/06_conversation_scripts_classification.md,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:returns_analytics_25_26:122d692fd7,internal,payment_status,returns_analytics_25_26,"insight_for_bot: Бот должен предлагать диагностический тест ДО оплаты онлайн-курсов, чтобы снизить риск возврата по причине «уровень группы».; client_facing: False",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_1_id:91b1f27128,internal,program,open_discrepancies / 1 / id,skoryaznyy_vs_skornyaznyy,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_1_issue:f4f0a96d2f,internal,location,open_discrepancies / 1 / issue,Адрес Москвы пишется по-разному в разных источниках: «Скоряжный пер.» и «Скорняжный пер.»,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_1_resolution_needed:449de9618c,internal,program,open_discrepancies / 1 / resolution_needed,Уточнить корректное написание у маркетинга,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_2_id:9aae112419,internal,program,open_discrepancies / 2 / id,dolyami_terms,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_2_issue:9f15308228,internal,installment,open_discrepancies / 2 / issue,"Долями: в одном источнике 4 части, в другом 3/6/10 месяцев",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_2_resolution_needed:63acb25f01,internal,program,open_discrepancies / 2 / resolution_needed,Уточнить актуальные условия у бухгалтерии (q обновить раз в квартал),review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_3_id:0a6b851307,internal,discount,open_discrepancies / 3 / id,foton_online_second_subject_discount,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_3_issue:bb6d06a8ba,internal,program,open_discrepancies / 3 / issue,"В одном источнике онлайн Фотон 2-й предмет = 20%, в другом 30%",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_3_resolution_needed:d305457bb6,internal,discount,open_discrepancies / 3 / resolution_needed,Уточнить актуальный размер скидки,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_4_id:9dd0f01a90,internal,discount,open_discrepancies / 4 / id,mfti_employees_discount_pct,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_4_issue:831771505a,internal,program,open_discrepancies / 4 / issue,"В одном источнике 10%, в другом 25%",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_4_resolution_needed:55347fc98e,internal,program,open_discrepancies / 4 / resolution_needed,"Уточнить — возможно, 25% это устаревшее или для разных продуктов",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_5_id:f12b4c7d0a,internal,program,open_discrepancies / 5 / id,telegram_handle_foton,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:internal:open_discrepancies_5_issue:2419149397,internal,program,open_discrepancies / 5 / issue,"В моих YAML telegram Фотон = @unpkmfti, но это handle с историческим именем. Может пересекаться с УНПК",internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:open_discrepancies_5_resolution_needed:1746317c48,internal,program,open_discrepancies / 5 / resolution_needed,Маркетинг подтверждает или меняет,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:critical_rules_brand_separation:f4d494889e,internal,program,База знаний КЦ,"Для клиента УНПК МФТИ и Фотон — разные организации, не связанные",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:legal_entities:3a43312bd3,internal,program,legal_entities,count: 4,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:licenses_unpk_mfti_holder:980469ad37,internal,program,УНПК Стоимость обучения и порядок оплаты на 26/2027 уч г от 16.03.26,АНО ДПО «УНПК МФТИ»,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:licenses_unpk_mfti_grants_1:686b6645a3,internal,tax,УНПК Стоимость обучения и порядок оплаты на 26/2027 уч г от 16.03.26,Социальный налоговый вычет,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:licenses_unpk_mfti_grants_2:fa3e2a9bf3,internal,matkap,УНПК Стоимость обучения и порядок оплаты на 26/2027 уч г от 16.03.26,Прием оплаты маткапиталом,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:discounts:9166c26077,internal,discount,discounts,"multichild: 10% (не суммируется; на 1-й 10%, на 2-й и далее 20%); mfti_employees: 10% (только УНПК)",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:promo_codes_fiztech_xxi_class_discount:964c7f75d4,internal,price,promo_codes / fiztech_xxi_class / discount,"ЛВШ 2026: -10%, цена 88 200 ₽",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:promo_codes_former_student_constraint:292397dea8,internal,program,promo_codes / former_student / constraint,"УНПК → УНПК, Фотон → Фотон",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:internal:installment:d99b7046a1,internal,installment,installment,available_for_brand: Только Фотон (УНПК не работает); provider: Т-Банк; refresh_frequency: Условия Т-Банка периодически меняются — обновлять минимум раз в квартал,internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:matkap:5830d3fe7f,internal,matkap,"СФР, Госуслуги, БЗ КЦ",rule_federal_only: True; legal_entity: АНО ДПО «УНПК МФТИ»; responsible_person: Дарья Клычева (бухгалтерия); client_path: Госуслуги → Семья и дети → Материнский капитал → Распоряжение → Образование,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:tax_deduction:99b6a3796f,internal,tax,"ФНС, КонсультантПлюс, ГАРАНТ",available: True; license_basis: АНО ДПО «УНПК МФТИ» № 70369 от 06.03.2013; certificate_form: КНД 1151158 (Приказ Минфина 18.10.2023 № 165н); certificate_lead_time_days: 3; retroactive_years: 3; fns_review_months: 3; payment_after_approval_months: 1; controversial_online_offline: Уточнить у бухгалтерии и юриста позицию по онлайн-курсам,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:certificates_types_payment_for_tax_deduction_form:230feee4b8,internal,tax,certificates / types / payment_for_tax_deduction / form,КНД 1151158,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:certificates_types_payment_for_tax_deduction_lead_time_days:7e2069bab9,internal,tax,certificates / types / payment_for_tax_deduction / lead_time_days,3,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:certificates_types_for_matkap_lead_time_days:d94b592920,internal,matkap,certificates / types / for_matkap / lead_time_days,3,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:certificates_client_docs_for_request_2:ebe8de6096,internal,tax,certificates / client_docs_for_request / 2,ИНН плательщика (для налоговой),review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:lvsh_mendeleevo_2026:77923a3dac,internal,program,kmipt.ru/courses/Kanikuly/Letnyaya_vyezdnaya_fizikomatematicheskaya_shkola_8__11_kl/,legal_entity: АНО ДПО «УНПК МФТИ»; audience: 5-10 класс (окончившие),review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:locations_free_trial_offline_locations_2:a59ea883d4,internal,location,locations / free_trial_offline / locations / 2,МФТИ,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:internal_kc_processes:87e6544289,internal,program,internal_kc_processes,warning: Не для клиента; amo_duplicate_check: Проверить активную сделку перед связью; mango_carousel_url: https://lk.mango-office.ru,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:foton:tax_policy_decision:a0feea3155,foton,tax,KB_RELEASE_V2_CLAUDE_CODEX_INTEGRATION_TZ_2026-05-17.md,Налоговый вычет доступен в рамках бренда Фотон при проверке актуальных брендовых документов.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Добавлено из утвержденного решения Дмитрия в ТЗ.
P1,fact:v2:unpk:tax_policy_decision:107e50bca6,unpk,tax,KB_RELEASE_V2_CLAUDE_CODEX_INTEGRATION_TZ_2026-05-17.md,Налоговый вычет доступен в рамках бренда УНПК МФТИ при проверке актуальных брендовых документов.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Добавлено из утвержденного решения Дмитрия в ТЗ.
