sample_rank,question_item_id,question_class_id,channel,topic,risk_group,answer_classification,answer_quality,customer_question_safe,context_summary,historical_manager_answer_safe,historical_answer_presence,client_followup_observed,technique,unsafe_reasons,outdated_or_unverified_fact_risks,usable_as_example,usable_as_fact,safe_pattern_summary,safe_pattern_template,required_fact_keys,bot_permission,answer_evidence_status,occurred_at,source_ref
157,question_item:0b39765f01f2554224755ecb55c08cd6,question_class:b44deb3261db5e63bba6bb2f726277d5,telegram,расписание,safe,outdated,needs_current_fact_check,"Получается, что физика и математика в один день?",класс: расписание / дни недели и время занятий / математика; продукт: не указан; формат: не указан; нужны факты: ['schedule.current'],"Да, обычно друг за другом ставят. Можно разбить по дням. Или 3 пары друг за другом.",present_redacted,not_reconstructed,объяснение порядка,,requires_current_schedule|answer_status_requires_current_fact,false,false,"Подтвердить запрос по времени, не называть точный слот из истории и передать менеджеру подбор расписания.","Понял(а), нужен удобный вариант по расписанию. Менеджер проверит актуальные группы и предложит подходящий слот.",['schedule.current'],allowed_after_fact_check,template_ready_needs_current_fact,2025-05-27T13:46:09+00:00,telegram:local_vm_2024-[дата]#dialog=1c3d5a35f09c;message=11874;part=1
158,question_item:0b9ea3e3ac3afae3ca5fb14d330b88ad,question_class:771f3c3c4de810bed0603555c74b7f32,call,расписание,safe,outdated,needs_current_fact_check,"Как - то можно попросить, чтобы хотя бы со сверстниками обязательно, да, те, кто в отряде, чтобы хоть вместе их поселили.",класс: запись на обучение / ручной разбор: общий вопрос по записи; продукт: не указан; формат: не указан; нужны факты: ['schedule.current'],"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.",present_redacted,not_reconstructed,запрос нужных данных,,requires_current_schedule|answer_status_requires_current_fact|review_requires_actual_fact_check,false,false,"Подтвердить запрос по времени, не называть точный слот из истории и передать менеджеру подбор расписания.","Понял(а), нужен удобный вариант по расписанию. Менеджер проверит актуальные группы и предложит подходящий слот.",['schedule.current'],allowed_after_fact_check,template_ready_needs_current_fact,2025-08-15T10:09:41+00:00,call:enriched_reviews.csv#moment=c779ed45d1c8
159,question_item:0bcb68503f575f3f7aced2bb66785857,question_class:410c387bd46c121a956879f0446bdd91,telegram,расписание,safe,outdated,needs_current_fact_check,актуальное окно записи в группе по физике 8 кл выходной в связи с праздником или есть занятия?,класс: состоится ли занятие / занятие сегодня или завтра / регулярный курс / физика / 8 класс; продукт: регулярный курс; формат: не указан; нужны факты: ['schedule.current'],"Доброе утро! Извините за поздний ответ. Все праздничные дни, кроме новогодних каникул, у нас рабочие.",present_redacted,not_reconstructed,мягкая проверка актуальности,,requires_current_schedule|answer_status_requires_current_fact,false,false,"Подтвердить запрос по времени, не называть точный слот из истории и передать менеджеру подбор расписания.","Понял(а), нужен удобный вариант по расписанию. Менеджер проверит актуальные группы и предложит подходящий слот.",['schedule.current'],allowed_after_fact_check,template_ready_needs_current_fact,2025-02-23T08:05:01+00:00,telegram:local_vm_2024-[дата]#dialog=1c3d5a35f09c;message=10871;part=1
160,question_item:0e2fd05f2c27f3dcab06cdc3a17f5869,question_class:d52cf89c37ca269ee628982e7ccafca1,call,расписание,safe,outdated,needs_current_fact_check,"Клиент сообщает, что дети довольны курсами, по деталям лучше спрашивать их напрямую; по зимней школе не получится из-за семейного мероприятия, а летнюю школу семья планирует рассматривать, Валентина уже ездила два года.","класс: лагерь / смена / поездка / летняя смена / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: ['program.current', 'schedule.current']","Поняла, тогда зимнюю школу не рассматриваем из-за семейного мероприятия и вашего отъезда актуальное окно записи. По летней школе зафиксирую интерес, тем более Валентина уже ездила два года. Подскажите, пожалуйста, на лето держать в фокусе Валентину, ученик или обоих? Как только откроем набор и даты, я вернусь к вам с конкретными вариантами.",present_redacted,not_reconstructed,запрос нужных данных,,requires_current_program|requires_current_schedule|answer_status_requires_current_fact,false,false,"Подтвердить запрос по времени, не называть точный слот из истории и передать менеджеру подбор расписания.","Понял(а), нужен удобный вариант по расписанию. Менеджер проверит актуальные группы и предложит подходящий слот.",['program.current'|'schedule.current'],allowed_after_fact_check,template_ready_needs_current_fact,2025-12-05T19:37:49+00:00,call:enriched_reviews.csv#moment=9a4db73afde0
161,question_item:0fb901062764c4f809f6c69bdf516eac,question_class:3950bd16d39f668cf747f19721ee0967,telegram,расписание,safe,outdated,needs_current_fact_check,"Добрый день, мы можем актуальное окно записи в июле программирование, можете прислать какие след шаги",класс: расписание / даты и период обучения / информатика; продукт: не указан; формат: не указан; нужны факты: ['schedule.current'],"Для записи пришлите, пожалуйста, ФИО ученика, класс, дату рождения, ФИО родителя, контактный номер для связи, адрес электронной почты.",present_redacted,not_reconstructed,запрос нужных данных,,requires_current_schedule|answer_status_requires_current_fact,false,false,"Подтвердить запрос по времени, не называть точный слот из истории и передать менеджеру подбор расписания.","Понял(а), нужен удобный вариант по расписанию. Менеджер проверит актуальные группы и предложит подходящий слот.",['schedule.current'],allowed_after_fact_check,template_ready_needs_current_fact,2026-03-06T10:02:20+00:00,telegram:local_vm_2024-[дата]#dialog=41bff55c7143;message=16236;part=1
162,question_item:10170decb577300b8cb1973127fdcd04,question_class:a977a963e4045b02ae76856ff6e9d73f,call,расписание,safe,outdated,needs_current_fact_check,"Здравствуйте, подскажите, пожалуйста, у меня ребенок посещает курсы на среднем 20, да, а пришел, а там, говорит, занятия нет, отменили, да?","класс: состоится ли занятие / ручной разбор: общий вопрос, состоится ли занятие / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: ['schedule.current']","Понял, сейчас быстро проверю. Ребенок сейчас у 401 аудитории или уже ушел? Отмены в общей системе я пока не вижу, поэтому менеджер свяжется с вами после проверки-10 минут с точным ответом: где занятие и что делать ребенку сейчас.",present_redacted,not_reconstructed,понятный следующий шаг,,requires_current_schedule|answer_status_requires_current_fact,false,false,"Подтвердить запрос по времени, не называть точный слот из истории и передать менеджеру подбор расписания.","Понял(а), нужен удобный вариант по расписанию. Менеджер проверит актуальные группы и предложит подходящий слот.",['schedule.current'],allowed_after_fact_check,template_ready_needs_current_fact,2026-04-19T12:49:00+00:00,call:enriched_reviews.csv#moment=a69f559bc32c
163,question_item:106e0c3f17d8c2d0f7acf6246334d13c,question_class:166731df77b169251a71ab9f495bcb75,call,расписание,safe,outdated,needs_current_fact_check,"Клиент интересуется летним лагерем для подростков: датами, местом, проживанием, уровнем детей, количеством занятий, расписанием, тестированием и размером смены.",класс: расписание / развернутый пересказ разговора / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: ['schedule.current'],"Да, берём детей с разным уровнем: перед выездом будет тестирование, по нему распределяем по группам. В день три пары, дальше кружки, квесты и спорт. Подскажите, пожалуйста, какой класс у ребёнка и какое направление ближе — физмат или IT? По июлю мест уже нет, но я могу проверить, подходит ли вам август актуальное окно записи, и отправить ссылку с программой и распорядком дня, чтобы вы спокойно посмотрели.",present_redacted,not_reconstructed,запрос нужных данных,,requires_current_schedule|answer_status_requires_current_fact,false,false,"Подтвердить запрос по времени, не называть точный слот из истории и передать менеджеру подбор расписания.","Понял(а), нужен удобный вариант по расписанию. Менеджер проверит актуальные группы и предложит подходящий слот.",['schedule.current'],allowed_after_fact_check,template_ready_needs_current_fact,2026-03-20T16:59:32+00:00,call:enriched_reviews.csv#moment=[номер]d15
164,question_item:42753b26d1cb80b6cd61c7cbb88f348a,question_class:da40e3cc6a703f2eb6678640d8b33cf6,telegram,оплата,commercial,outdated,needs_current_fact_check,"Не хотим, чтобы данные утекли в сеть и потом обнаружить какой-то актуальные варианты на себя.",класс: рассрочка / общий вопрос о рассрочке; продукт: не указан; формат: не указан; нужны факты: ['installment.current'],"Можно отправить копию с водяным знаком или подойти передать в офис по адресу: г. адрес, который подтвердит менеджер, адрес, который подтвердит менеджер1, 4 этаж, 49 каб (со Вт по Сб с актуальное окно записи до актуальное окно записи)",present_redacted,not_reconstructed,объяснение порядка,,requires_current_installment|answer_status_requires_current_fact,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['installment.current'],allowed_after_fact_check,template_ready_needs_current_fact,2025-05-29T14:20:37+00:00,telegram:local_vm_2024-[дата]#dialog=1c3d5a35f09c;message=11913;part=1
165,question_item:ee1f121c42f3c36bd4177dd747c4fb25,question_class:3692e02f3211d1f715b2bb75a9b3c40b,telegram,оплата,commercial,outdated,needs_current_fact_check,И есть ли возможность актуальные варианты если возьмем весь год.,класс: рассрочка; продукт: не указан; формат: не указан; нужны факты: ['installment.current'],Да. Записи доступны в личном кабинете.,present_redacted,not_reconstructed,мягкая проверка актуальности,,requires_current_installment|answer_status_requires_current_fact,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['installment.current'],allowed_after_fact_check,template_ready_needs_current_fact,2025-09-25T07:25:17+00:00,telegram:local_vm_2024-[дата]#dialog=fc0d58fe7651;message=13563;part=1
166,question_item:3a45c3dd77804c334b6644467215fd01,question_class:16f81a04cb83b67b94b4b05d885c4940,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Угу угу хорошо Да нет все понятно Да еще вопрос если вот он бывает не пришел вовремя на занятия, вы будете сигнализировать или это просто как бы отмечается что его не было Да да да Угу ну да да да да ага Да спасибо.",класс: оплата / договор / документы / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents|review_requires_actual_fact_check,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-12-27T14:09:24+00:00,call:enriched_reviews.csv#moment=55326b69bf9f
167,question_item:3aa6fd3dd2053603dba1fdd42593b47f,question_class:87862cfb4d2e7857c7f168ac38443519,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Клиент прямо сейчас оплачивает летнюю выездную школу, ошибся при вводе номера карты и просит созвониться через минуту по тому же номеру.",класс: оплата / договор / документы / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: ['documents.current'],"Да, конечно, завершите оплату спокойно. Я ученик, учебный центр. Если удобнее, я перезвоню вам через минуту на этот же номер; если вы успеете раньше, можете набрать меня сами. Если с оплатой снова будет ошибка, помогу разобраться.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-07-11T12:09:27+00:00,call:enriched_reviews.csv#moment=83885ff7dad5
168,question_item:4c101f4e43b0f52b2f070f3aba5c925e,question_class:87862cfb4d2e7857c7f168ac38443519,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Клиент подтверждает, что ребенок поедет в летнюю выездную школу, и упоминает документы; в разговоре есть помехи связи и неясная фраза «Что здесь? ».",класс: оплата / договор / документы / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: ['documents.current'],"Отлично, фиксирую, что ребенок поедет. Сейчас продублирую письмо на электронную почту: там будут условия, документы и дальнейшие шаги по оформлению. Правильно понимаю, вам нужно именно менеджер свяжется с вами после проверки минут, а после получения вы сможете ответным письмом подтвердить оформление.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2026-04-29T12:50:15+00:00,call:enriched_reviews.csv#moment=0eb2040bd8f8
169,question_item:6ec2d6152c056865a12a322e03f0fdea,question_class:16f81a04cb83b67b94b4b05d885c4940,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Клиентка уточнила, что не оставляла новую заявку, а оплачивала занятия ребенка, который уже занимается в Жуковском.",класс: оплата / договор / документы / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: ['documents.current'],"Поняла вас, извините за беспокойство: это не новая заявка, а оплата по ребенку, который уже занимается в Жуковском. Сейчас отмечу это в системе и передам в филиал, чтобы обращение не дублировали. Если потребуется подтверждение по оплате, коллеги свяжутся с вами.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents|review_requires_actual_fact_check,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2026-03-31T09:55:26+00:00,call:enriched_reviews.csv#moment=8e259d68c83b
170,question_item:7bc60bfcee0ad484bd8b68e2b12ff6d3,question_class:16f81a04cb83b67b94b4b05d885c4940,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,Ну он может обмануть он может сказать что пошел на занятия а сам пошел к друзьям Вот и как бы ученик угу Да хорошо уже ученик да Да нет все я выяснила.,класс: оплата / договор / документы / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents|review_requires_actual_fact_check,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-09-29T11:55:32+00:00,call:enriched_reviews.csv#moment=ef5f941cebaf
171,question_item:7e83df929ecdf982647445295dabdb5c,question_class:87862cfb4d2e7857c7f168ac38443519,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Могли бы мне тогда по летней выездной школе прислать предложение, ну как бы что там из себя представлять, потому что в принципе адрес, который подтвердит менеджер нам достаточно удобно, это наш край, наши края.",класс: оплата / договор / документы / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-02-04T15:55:07+00:00,call:enriched_reviews.csv#moment=36c056a8d2c3
172,question_item:91f023586d76e186a0eca442a4789643,question_class:16f81a04cb83b67b94b4b05d885c4940,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,А до этого не было занятий?,класс: оплата / договор / документы / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents|review_requires_actual_fact_check,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-09-15T10:24:45+00:00,call:enriched_reviews.csv#moment=3b1a84fd6739
173,question_item:9b07f5ce11b745ec18ae7320320a9b4c,question_class:6eaaeedd5fb15ba9a2b43ba3fe9a0763,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Алло Да, я вас слушаю Да сейчас момент я отойду Да да да ученик да нет никаких на самом деле замечаний Я занималась еще информатикой и потом перестала потому что поняла что не успеваю Вот, ну как бы оставила просто",класс: оплата / договор / документы / информатика; продукт: не указан; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2026-03-20T10:53:35+00:00,call:enriched_reviews.csv#moment=95bd44dee571
174,question_item:a29696adeceb48c787e3fc8e9975fed6,question_class:bc9e24eaf593a2df560694e728f01b80,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Так, вы про какую математику?",класс: оплата / договор / документы / математика; продукт: не указан; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-09-09T15:13:34+00:00,call:enriched_reviews.csv#moment=a13daecf7d87
175,question_item:ba8f3ff337c3369ee76f9f93719c2d3e,question_class:6eaaeedd5fb15ba9a2b43ba3fe9a0763,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Да, информатику точно интересует, так что высылайте на информатику документы и что там нужно.",класс: оплата / договор / документы / информатика; продукт: не указан; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-07-10T18:03:51+00:00,call:enriched_reviews.csv#moment=25a[номер]e7a
176,question_item:df1aa206a6e059d0bd2a1a867f3706c4,question_class:6eaaeedd5fb15ba9a2b43ba3fe9a0763,call,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Так что, если бы у вас информатика была бы попроще, группа, я бы с удовольствием ее туда перевел.",класс: оплата / договор / документы / информатика; продукт: не указан; формат: не указан; нужны факты: ['documents.current'],"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.",present_redacted,not_reconstructed,ручная эскалация,manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-11-24T12:25:39+00:00,call:enriched_reviews.csv#moment=1d6f672f293d
177,question_item:1c956182215b9d2cb1539fbc3ad80c7c,question_class:87862cfb4d2e7857c7f168ac38443519,telegram,оплата,legal_docs,unsafe,unsafe_for_client_layer,"Подскажите, для заезда на летнюю выездную школу нужны медицинские документы?",класс: оплата / договор / документы / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: ['documents.current'],"Добрый день! Ниже указаны документы и справки, которые нужно будет подготовить к смене. Необходимые документы: Заполненный действующие правила изменения или отмены услуги в 2-х экземплярах Анкета и согласие на обработку персональных данных в 1 экземпляре Копия паспорта или свидетельства о рождении Копия страхового медицинского полиса Медицинская справка 079У (действует в течение 3 мес) Справка о санэпидокружении обычно № 291 (срок действия 3 дня до приезда) Информация от родителей, если у ребенка есть аллергия на пищевые продукты или другие заболевания, требующие мед. помощь Желательные документы: Данные документы могут стать необходимыми при изменении требований контролирующих органов. Мед…",present_redacted,not_reconstructed,ручная эскалация,source_required_personal_data_redaction|manager_only_high_risk_topic,requires_current_documents,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,manager_only,2025-07-07T07:30:12+00:00,telegram:local_vm_2024-[дата]#dialog=95879f80cadf;message=12520;part=1
178,question_item:fa57b71be05d836a75fffa3d3ee2e4a7,question_class:16f81a04cb83b67b94b4b05d885c4940,email,оплата,legal_docs,no_answer,missing_or_not_enough_context,"Подписывать документы можно только с физлицами, включая самозанятых.",класс: оплата / договор / документы / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: ['documents.current'],"Поняла вас, извините за беспокойство: это не новая заявка, а оплата по ребенку, который уже занимается в Жуковском. Сейчас отмечу это в системе и передам в филиал, чтобы обращение не дублировали. Если потребуется подтверждение по оплате, коллеги свяжутся с вами.",missing,not_reconstructed,нет исторического ответа,manager_only_high_risk_topic,requires_current_documents|review_requires_actual_fact_check,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['documents.current'],manager_only,needs_rop_answer,2026-02-05T11:07:03+00:00,email:archive#message=2a2872ca725f;part=3
179,question_item:0e1c82110f734814fca0d1cc01ba465e,question_class:3692e02f3211d1f715b2bb75a9b3c40b,email,оплата,commercial,no_answer,missing_or_not_enough_context,в прошлый раз мы брали актуальные варианты в МТС Банке и платили по 8 тр в месяц сейчас так можно?,класс: рассрочка; продукт: не указан; формат: не указан; нужны факты: ['installment.current'],Исторический ответ не найден.,missing,not_reconstructed,нет исторического ответа,,,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['installment.current'],allowed_after_fact_check,needs_rop_answer,2025-06-04T06:20:47+00:00,email:archive#message=3e266b929d1c;part=1
180,question_item:2f606fdfaaaecb710f0d4afa61c34dce,question_class:7c68728b6689c9d7f49d6c2feba5cb0c,email,оплата,commercial,no_answer,missing_or_not_enough_context,"У вас на сайте написано про сервис Долями, если мы решим им воспользоваться, то как это можно сделать?",класс: рассрочка / рассрочка через банк или сервис; продукт: не указан; формат: не указан; нужны факты: ['installment.current'],Исторический ответ не найден.,missing,not_reconstructed,нет исторического ответа,,,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['installment.current'],allowed_after_fact_check,needs_rop_answer,2026-04-27T09:56:11+00:00,email:archive#message=d87fe55af237;part=2
181,question_item:afa3f33cf9f9c6064ea78b506bb2fe56,question_class:d58fba28e5275864c6add89751308dc4,email,оплата,commercial,no_answer,missing_or_not_enough_context,Можно попробовать получить актуальные варианты?,класс: рассрочка / срок рассрочки; продукт: не указан; формат: не указан; нужны факты: ['installment.current'],Исторический ответ не найден.,missing,not_reconstructed,нет исторического ответа,,,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['installment.current'],allowed_after_fact_check,needs_rop_answer,2025-09-10T14:36:40+00:00,email:archive#message=6ae5c64f7fcc;part=1
182,question_item:b484c86b33b33a653ec8b015a880cd09,question_class:7c68728b6689c9d7f49d6c2feba5cb0c,email,оплата,commercial,no_answer,missing_or_not_enough_context,Сейчас у вас актуальные варианты или есть Долями?,класс: рассрочка / рассрочка через банк или сервис; продукт: не указан; формат: не указан; нужны факты: ['installment.current'],Исторический ответ не найден.,missing,not_reconstructed,нет исторического ответа,,,false,false,"Разобрать тип платежного вопроса, не давать реквизиты или суммы из истории и обозначить следующий шаг менеджера.",Понял(а) вопрос по оплате. Менеджер проверит актуальные данные по договору и подскажет безопасный следующий шаг.,['installment.current'],allowed_after_fact_check,needs_rop_answer,2025-09-10T14:16:40+00:00,email:archive#message=1d0dab4413e9;part=1
183,question_item:0174b43eaa5014306585ed4dac541196,question_class:2e69266cdf8a6ccb95d6631ca694ec88,call,документы,safe,outdated,needs_current_fact_check,"Клиент не видел письмо по летней школе, уточняет адрес отправки и подтверждает, что речь идет о летней выездной школе.",класс: письма / справки / подтверждающие документы / развернутый пересказ разговора / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: ['documents.current'],"Да, речь про летнюю выездную школу. Поняла, что письмо вы пока не видели. Давайте я продублирую его сейчас на оба адреса и дополнительно могу отправить краткую информацию сообщением. Там будут смены на июнь, июль и август, а также ваши актуальные варианты: актуальные варианты и актуальные варианты как участнику выездных школ. Когда вам удобно, чтобы я менеджер свяжется с вами после проверки, дошло ли письмо и остались ли вопросы?",present_redacted,not_reconstructed,понятный следующий шаг,,requires_current_documents,false,false,"Аккуратно признать вопрос по документам, не давать юридических обещаний и отправить на ручную проверку.","Понял(а), вопрос связан с документами и условиями. Передам менеджеру на проверку, чтобы ответ был по актуальным правилам.",['documents.current'],manager_only,manager_only,2025-02-26T15:42:41+00:00,call:enriched_reviews.csv#moment=3b16208ae027
184,question_item:0d90760e284497dd4f46a540530a5973,question_class:4f37981e68c7ce124c290b72f41af26a,telegram,документы,safe,outdated,needs_current_fact_check,Что то не так оформили?,класс: письма / справки / подтверждающие документы / ошибка или вопрос по оформлению документов; продукт: не указан; формат: не указан; нужны факты: ['documents.current'],"Добрый день! Доступ к занятиям открыт. Напишите, пожалуйста, после ознакомления принятое решение касательно группы.",present_redacted,not_reconstructed,запрос нужных данных,,requires_current_documents|review_requires_actual_fact_check,false,false,"Аккуратно признать вопрос по документам, не давать юридических обещаний и отправить на ручную проверку.","Понял(а), вопрос связан с документами и условиями. Передам менеджеру на проверку, чтобы ответ был по актуальным правилам.",['documents.current'],manager_only,manager_only,2026-02-14T08:57:59+00:00,telegram:local_vm_2024-[дата]#dialog=f768ebf84bbf;message=15753;part=2
